title,price,description,rating,reviews,url
Lenovo IdeaTab,$69.99,"7"" screen, Android",,,https://webscraper.io/test-sites/e-commerce/more/product/10
IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",,,https://webscraper.io/test-sites/e-commerce/more/product/15
Acer Iconia,$96.99,"7"" screen, Android, 16GB",,,https://webscraper.io/test-sites/e-commerce/more/product/11
Galaxy Tab 3,$97.99,"7"", 8GB, Wi-Fi, Android 4.2, White",,,https://webscraper.io/test-sites/e-commerce/more/product/18
Iconia B1-730HD,$99.99,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",,,https://webscraper.io/test-sites/e-commerce/more/product/27
Memo Pad HD 7,$101.99,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",,,https://webscraper.io/test-sites/e-commerce/more/product/23
Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",,,https://webscraper.io/test-sites/e-commerce/more/product/12
Amazon Kindle,$103.99,"6"" screen, wifi",,,https://webscraper.io/test-sites/e-commerce/more/product/13
Galaxy Tab 3,$107.99,"7"", 8GB, Wi-Fi, Android 4.2, Yellow",,,https://webscraper.io/test-sites/e-commerce/more/product/22
IdeaTab A8-50,$121.99,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",,,https://webscraper.io/test-sites/e-commerce/more/product/28
MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",,,https://webscraper.io/test-sites/e-commerce/more/product/20
IdeaTab A3500-H,$148.99,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",,,https://webscraper.io/test-sites/e-commerce/more/product/17
IdeaTab S5000,$172.99,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",,,https://webscraper.io/test-sites/e-commerce/more/product/26
Galaxy Tab 4,$233.99,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",,,https://webscraper.io/test-sites/e-commerce/more/product/21
Galaxy Tab,$251.99,"16GB, White",,,https://webscraper.io/test-sites/e-commerce/more/product/16
MeMo PAD FHD 10,$320.99,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",,,https://webscraper.io/test-sites/e-commerce/more/product/25
Galaxy Note,$399.99,"10.1"", 3G, Android 4.0, Garnet Red",,,https://webscraper.io/test-sites/e-commerce/more/product/29
Galaxy Note,$489.99,"12.2"", 32GB, WiFi, Android 4.4, White",,,https://webscraper.io/test-sites/e-commerce/more/product/19
iPad Mini Retina,$537.99,"Wi-Fi + Cellular, 32GB, Silver",,,https://webscraper.io/test-sites/e-commerce/more/product/14
Galaxy Note 10.1,$587.99,"10.1"", 32GB, Black",,,https://webscraper.io/test-sites/e-commerce/more/product/24
Apple iPad Air,$603.99,"Wi-Fi, 64GB, Silver",,,https://webscraper.io/test-sites/e-commerce/more/product/30
